Prefix,HCL_component,Traits,Models,Predictive_ability
Baya,C,Baya.LCH.C,BA,0.201
Baya,C,Baya.LCH.C,BA,0.351
Baya,C,Baya.LCH.C,BA,0.293
Baya,C,Baya.LCH.C,BA,0.246
Baya,C,Baya.LCH.C,BA,0.262
Baya,C,Baya.LCH.C,BA,0.407
Baya,C,Baya.LCH.C,BB,0.185
Baya,C,Baya.LCH.C,BB,0.259
Baya,C,Baya.LCH.C,BB,0.192
Baya,C,Baya.LCH.C,BB,0.23
Baya,C,Baya.LCH.C,BB,0.257
Baya,C,Baya.LCH.C,BB,0.249
Baya,C,Baya.LCH.C,BC,0.287
Baya,C,Baya.LCH.C,BC,0.126
Baya,C,Baya.LCH.C,BC,0.38
Baya,C,Baya.LCH.C,BC,0.253
Baya,C,Baya.LCH.C,BC,0.144
Baya,C,Baya.LCH.C,BC,0.317
Baya,C,Baya.LCH.C,BL,0.252
Baya,C,Baya.LCH.C,BL,0.222
Baya,C,Baya.LCH.C,BL,0.323
Baya,C,Baya.LCH.C,BL,0.201
Baya,C,Baya.LCH.C,BL,0.252
Baya,C,Baya.LCH.C,BL,0.305
Baya,C,Baya.LCH.C,BRR,0.31
Baya,C,Baya.LCH.C,BRR,0.227
Baya,C,Baya.LCH.C,BRR,0.251
Baya,C,Baya.LCH.C,BRR,0.233
Baya,C,Baya.LCH.C,BRR,0.294
Baya,C,Baya.LCH.C,BRR,0.272
Baya,C,Baya.LCH.C,GBLUP,0.258
Baya,C,Baya.LCH.C,GBLUP,0.104
Baya,C,Baya.LCH.C,GBLUP,0.34
Baya,C,Baya.LCH.C,GBLUP,0.313
Baya,C,Baya.LCH.C,GBLUP,0.281
Baya,C,Baya.LCH.C,GBLUP,0.257
Baya,C,Baya.LCH.C,EGBLUP,0.25
Baya,C,Baya.LCH.C,EGBLUP,0.229
Baya,C,Baya.LCH.C,EGBLUP,0.183
Baya,C,Baya.LCH.C,EGBLUP,0.343
Baya,C,Baya.LCH.C,EGBLUP,0.168
Baya,C,Baya.LCH.C,EGBLUP,0.271
Baya,C,Baya.LCH.C,RKHS,0.295
Baya,C,Baya.LCH.C,RKHS,0.28
Baya,C,Baya.LCH.C,RKHS,0.151
Baya,C,Baya.LCH.C,RKHS,0.125
Baya,C,Baya.LCH.C,RKHS,0.259
Baya,C,Baya.LCH.C,RKHS,0.272
Baya,H,Baya.LCH.H,BA,0.306
Baya,H,Baya.LCH.H,BA,0.257
Baya,H,Baya.LCH.H,BA,0.227
Baya,H,Baya.LCH.H,BA,0.153
Baya,H,Baya.LCH.H,BA,0.242
Baya,H,Baya.LCH.H,BA,0.31
Baya,H,Baya.LCH.H,BB,0.142
Baya,H,Baya.LCH.H,BB,0.156
Baya,H,Baya.LCH.H,BB,0.17
Baya,H,Baya.LCH.H,BB,0.199
Baya,H,Baya.LCH.H,BB,0.32
Baya,H,Baya.LCH.H,BB,0.137
Baya,H,Baya.LCH.H,BC,0.305
Baya,H,Baya.LCH.H,BC,0.314
Baya,H,Baya.LCH.H,BC,0.137
Baya,H,Baya.LCH.H,BC,0.408
Baya,H,Baya.LCH.H,BC,0.247
Baya,H,Baya.LCH.H,BC,0.221
Baya,H,Baya.LCH.H,BL,0.261
Baya,H,Baya.LCH.H,BL,0.197
Baya,H,Baya.LCH.H,BL,0.174
Baya,H,Baya.LCH.H,BL,0.2
Baya,H,Baya.LCH.H,BL,0.23
Baya,H,Baya.LCH.H,BL,0.247
Baya,H,Baya.LCH.H,BRR,0.17
Baya,H,Baya.LCH.H,BRR,0.236
Baya,H,Baya.LCH.H,BRR,0.137
Baya,H,Baya.LCH.H,BRR,0.232
Baya,H,Baya.LCH.H,BRR,0.252
Baya,H,Baya.LCH.H,BRR,0.123
Baya,H,Baya.LCH.H,GBLUP,0.255
Baya,H,Baya.LCH.H,GBLUP,0.237
Baya,H,Baya.LCH.H,GBLUP,0.277
Baya,H,Baya.LCH.H,GBLUP,0.196
Baya,H,Baya.LCH.H,GBLUP,0.291
Baya,H,Baya.LCH.H,GBLUP,0.29
Baya,H,Baya.LCH.H,EGBLUP,0.276
Baya,H,Baya.LCH.H,EGBLUP,0.353
Baya,H,Baya.LCH.H,EGBLUP,0.112
Baya,H,Baya.LCH.H,EGBLUP,0.177
Baya,H,Baya.LCH.H,EGBLUP,0.257
Baya,H,Baya.LCH.H,EGBLUP,0.216
Baya,H,Baya.LCH.H,RKHS,0.233
Baya,H,Baya.LCH.H,RKHS,0.236
Baya,H,Baya.LCH.H,RKHS,0.13
Baya,H,Baya.LCH.H,RKHS,0.282
Baya,H,Baya.LCH.H,RKHS,0.288
Baya,H,Baya.LCH.H,RKHS,0.165
Baya,L,Baya.LCH.L,BA,0.135
Baya,L,Baya.LCH.L,BA,0.314
Baya,L,Baya.LCH.L,BA,0.318
Baya,L,Baya.LCH.L,BA,0.214
Baya,L,Baya.LCH.L,BA,0.334
Baya,L,Baya.LCH.L,BA,0.222
Baya,L,Baya.LCH.L,BB,0.265
Baya,L,Baya.LCH.L,BB,0.239
Baya,L,Baya.LCH.L,BB,0.077
Baya,L,Baya.LCH.L,BB,0.165
Baya,L,Baya.LCH.L,BB,0.301
Baya,L,Baya.LCH.L,BB,0.145
Baya,L,Baya.LCH.L,BC,0.205
Baya,L,Baya.LCH.L,BC,0.155
Baya,L,Baya.LCH.L,BC,0.215
Baya,L,Baya.LCH.L,BC,0.153
Baya,L,Baya.LCH.L,BC,0.262
Baya,L,Baya.LCH.L,BC,0.203
Baya,L,Baya.LCH.L,BL,0.233
Baya,L,Baya.LCH.L,BL,0.161
Baya,L,Baya.LCH.L,BL,0.091
Baya,L,Baya.LCH.L,BL,0.317
Baya,L,Baya.LCH.L,BL,0.099
Baya,L,Baya.LCH.L,BL,0.18
Baya,L,Baya.LCH.L,BRR,0.27
Baya,L,Baya.LCH.L,BRR,0.147
Baya,L,Baya.LCH.L,BRR,0.166
Baya,L,Baya.LCH.L,BRR,0.186
Baya,L,Baya.LCH.L,BRR,0.186
Baya,L,Baya.LCH.L,BRR,0.174
Baya,L,Baya.LCH.L,GBLUP,0.271
Baya,L,Baya.LCH.L,GBLUP,0.209
